1, 161
2, 159
3, 161
4, 160
5, 159
6, 159
7, 158
8, 157
9, 153
10, 156
11, 150
12, 148
13, 150
14, 148
15, 149
16, 140
17, 138
18, 135
19, 134
20, 124
21, 122
22, 119
23, 112
24, 104
25, 96
26, 90
27, 78
28, 63
