20, 3
21, 2
22, 4
23, 1
24, 5
25, 11
26, 2
27, 8
28, 7
29, 11
30, 12
31, 7
32, 10
33, 24
34, 14
35, 25
36, 19
37, 18
38, 22
39, 32
40, 25
41, 23
42, 38
43, 30
44, 47
45, 40
46, 42
47, 45
48, 54
49, 66
50, 68
51, 71
52, 99
53, 81
54, 91
55, 111
56, 122
57, 115
58, 131
59, 160
60, 142
61, 141
62, 130
63, 150
64, 152
65, 143
66, 125
67, 151
68, 119
69, 115
70, 122
71, 131
72, 115
73, 98
74, 87
75, 73
76, 53
77, 44
78, 49
79, 48
80, 23
81, 31
82, 8
83, 10
84, 13
85, 9
86, 5
87, 9
88, 4
89, 2
90, 1
92, 1
